pics,image_icon1,image_icon2,image_icon3,sound1,sound2,condition
pics/v3.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/ih.wav,blank.wav,vowel
pics/v4.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/eh.wav,blank.wav,vowel
pics/v1.png,pics/speaker_icon.jpg,pics/speaker_icon.jpg,pics/blank.jpg,sound/ae.WAV,sound/ay.WAV,vowel
pics/v2.png,pics/speaker_icon.jpg,pics/speaker_icon.jpg,pics/blank.jpg,sound/iy.WAV,sound/ey.WAV,vowel
pics/c1a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/b.WAV,blank.wav,consonant
pics/c1b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/b.WAV,blank.wav,consonant
pics/c2a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/d.WAV,blank.wav,consonant
pics/c2b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/d.WAV,blank.wav,consonant
pics/c3a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/k.WAV,blank.wav,consonant
pics/c3b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/k.WAV,blank.wav,consonant
pics/c4a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/l.WAV,blank.wav,consonant
pics/c4b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/l.WAV,blank.wav,consonant
pics/c5a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/m.WAV,blank.wav,consonant
pics/c5b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/m.WAV,blank.wav,consonant
pics/c6a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/n.WAV,blank.wav,consonant
pics/c6b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/n.WAV,blank.wav,consonant
pics/c7a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/p.WAV,blank.wav,consonant
pics/c7b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/p.WAV,blank.wav,consonant
pics/c8a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/r.WAV,blank.wav,consonant
pics/c8b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/r.WAV,blank.wav,consonant
pics/c9a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/s.WAV,blank.wav,consonant
pics/c9b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/s.WAV,blank.wav,consonant
pics/c10a.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/t.WAV,blank.wav,consonant
pics/c10b.png,pics/blank.jpg,pics/blank.jpg,pics/speaker_icon.jpg,sound/t.WAV,blank.wav,consonant